"","gvkey","viol","Date","gvkey.1","datadate.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","Index.1","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","date.rep","date.fil"
"14",1109,1,"31.12.2006",1109,"31.12.2006",2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",4.249,6.75,0.527,5.232,1.219,0,2.583,2.583,-0.819,1,2.11,4.167,0,0,0.091,0.001,"I",0,0,1.5307,252,"2006Q4",1109,"http://www.sec.gov/Archives/edgar/data/747435/0001193125-07-071919.txt",747435,"10KSB","ACTION PRODUCTS INTERNATIONAL INC","31.12.2006","02.04.2007"
"15",1117,1,"31.03.2007",1117,"31.03.2007",2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",27.36,34.017,11.775,13.342,0,0,1.989,1.989,-0.555,0.905,4.631,32.028,0,0,0.083,0,"A",0,0,4,285,"2007Q1",1117,"http://www.sec.gov/Archives/edgar/data/2186/0001116502-07-000933.txt",2186,"10-Q","RELM WIRELESS CORP","31.03.2007","08.05.2007"
"17",1173,1,"31.07.2007",1173,"31.07.2007",2007,2,"INDL","C","D","STD","USD","2007Q2","2007Q2",12.292,17.422,0.26,3.569,0.23,2.215,5.006,7.597,-1.607,3.23,5.292,9.825,0.006,0,0.339,0,"I",0,0,7.39,357,"2007Q2",1173,"http://www.sec.gov/Archives/edgar/data/109471/0000910680-07-000867.txt",109471,"10-Q","AEROSONIC CORP /DE/","27.07.2007","17.09.2007"
"18",1173,1,"31.10.2007",1173,"31.10.2007",2007,3,"INDL","C","D","STD","USD","2007Q3","2007Q3",13.729,19.216,0.481,3.574,0.306,5.592,4.162,9.985,0.011,2.259,7.427,9.231,0.006,1,0.559,0,"I",0,0,5.75,358,"2007Q3",1173,"http://www.sec.gov/Archives/edgar/data/109471/0000910680-07-001138.txt",109471,"10-Q","AEROSONIC CORP /DE/","26.10.2007","10.12.2007"
"19",1210,1,"31.03.2004",1210,"31.03.2004",2003,4,"INDL","C","D","STD","USD","2004Q1","2003Q4",14.416,19.574,1.308,2.687,0.095,0.185,6.088,7.897,1.43,3.271,18.338,11.677,0,0,1.261,0.179,"A",0,0,5.3,391,"2004Q1",1210,"http://www.sec.gov/Archives/edgar/data/353184/0000353184-04-000013.txt",353184,"10-K","AIR T INC","31.03.2004","24.06.2004"
"20",1239,1,"31.03.2007",1239,"31.03.2007",2007,2,"INDL","C","D","STD","USD","2007Q1","2007Q2",801.076,1399.827,312.022,97.411,0.736,122.084,289.216,500.756,NA,196.103,279.59,899.071,23.223,0,18.532,0.876,"I",0.055,0.055,22.88,467,"2007Q1",1239,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-07-108356.txt",1368457,"10-Q","Alberto-Culver CO","31.03.2007","09.05.2007"
"21",1239,1,"30.09.2006",1239,"30.09.2006",2006,4,"INDL","C","D","STD","USD","2006Q3","2006Q4",1428.801,2582.597,305.95,93.239,1.088,122.322,590.848,823.668,49.455,354.026,368.141,1758.929,43.527,26.995,80.341,1.553,"I",0.13,0.13,50.59,465,"2006Q3",1239,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-06-252473.txt",1368457,"10-K","Alberto-Culver CO","30.09.2006","13.12.2006"
"22",1239,1,"31.12.2006",1239,"31.12.2006",2007,1,"INDL","C","D","STD","USD","2006Q4","2007Q1",721.958,1315.555,244.511,94.652,0.664,122.045,294.2,472.888,NA,215.555,351.128,842.667,3.981,0,9.703,0.876,"I",25,25,21.45,466,"2006Q4",1239,"http://www.sec.gov/Archives/edgar/data/1368457/0001193125-07-025183.txt",1368457,"10-Q","Alberto-Culver CO","31.12.2006","09.02.2007"
"23",1266,1,"31.05.2007",1266,"31.05.2007",2007,3,"INDL","C","D","STD","USD","2007Q2","2007Q3",141.194,299.52,79.819,7.364,1.347,67.377,94.87,171.117,11.537,131.767,62.188,128.403,0,0,7.141,1.106,"A",0.275,0.275,59.94,551,"2007Q2",1266,"http://www.sec.gov/Archives/edgar/data/3545/0001362310-07-001329.txt",3545,"10-Q","ALICO INC","31.05.2007","16.07.2007"
"24",1266,1,"31.08.2007",1266,"31.08.2007",2007,4,"INDL","C","D","STD","USD","2007Q3","2007Q4",127.216,280.887,81.067,7.357,1.35,135.539,17.519,161.941,-0.468,128.99,9.071,118.946,0,0,9.138,1.484,"A",0.275,0.275,51.15,552,"2007Q3",1266,"http://www.sec.gov/Archives/edgar/data/3545/0001362310-07-003012.txt",3545,"10-K","ALICO INC","31.08.2007","14.11.2007"
"25",1308,1,"31.03.2004",1308,"31.03.2004",2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",9.918,53.015,0.491,19.633,4.888,26.476,11.13,38.28,1.649,31.92,9.661,10.684,0,0,1.411,0,"I",0,0,1.1,606,"2004Q1",1308,"http://www.sec.gov/Archives/edgar/data/3982/0001019687-04-001071.txt",3982,"10-Q","ALLIS CHALMERS CORP","31.03.2004","17.05.2004"
"26",1360,1,"30.09.2006",1360,"30.09.2006",2006,2,"INDL","C","D","STD","USD","2006Q3","2006Q2",11.033,20.929,2.031,3.995,4.734,1.563,12.469,15.607,-1.359,7.552,13.563,5.322,0.17,0,1.604,0,"I",0,0,2.46,695,"2006Q3",1360,"http://www.sec.gov/Archives/edgar/data/4317/0001038838-06-000968.txt",4317,"10-Q","SENTO CORP","30.09.2006","28.12.2006"
"27",1360,1,"31.12.2006",1360,"31.12.2006",2006,3,"INDL","C","D","STD","USD","2006Q4","2006Q3",10.559,19.985,1.875,4.016,3.182,1.604,11.403,14.531,-2.341,7.315,12.495,5.454,0.149,0,1.942,0,"I",0,0,2.29,696,"2006Q4",1360,"http://www.sec.gov/Archives/edgar/data/4317/0000950005-07-000139.txt",4317,"10-Q","SENTO CORP","31.12.2006","20.02.2007"
"28",1382,1,"31.03.2004",1382,"31.03.2004",2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",782.602,1598.172,440.778,35.888,113.696,648.492,681.706,1474.165,28.28,612.679,649.327,124.007,0,0,36.979,0,"I",0,0,9.53,720,"2004Q1",1382,"http://www.sec.gov/Archives/edgar/data/701345/0001193125-04-081493.txt",701345,"10-Q","US AIRWAYS GROUP INC","31.03.2004","07.05.2004"
"29",1382,1,"31.12.2004",1382,"31.12.2004",2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",624.977,1475.264,317.006,35.986,154.658,640.19,664.716,1438.817,-43,656.535,697,36.447,0,0,219.383,0,"I",0,0,6.58,723,"2004Q4",1382,"http://www.sec.gov/Archives/edgar/data/701345/0001193125-05-038926.txt",701345,"10-K","US AIRWAYS GROUP INC","31.12.2004","01.03.2005"
"30",1397,1,"31.03.2007",1397,"31.03.2007",2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",184.494,330.646,28.969,3.442,37.885,8.401,142.15,312.124,6.68,103.225,100.031,17.534,4.065,0,0.656,0,"A",0,0,9.31,764,"2007Q1",1397,"http://www.sec.gov/Archives/edgar/data/4611/0001171520-07-000207.txt",4611,"10-Q","AMERICAN BILTRITE INC","31.03.2007","14.05.2007"
"31",1397,1,"31.12.2004",1397,"31.12.2004",2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",192.414,355.285,50.373,3.442,38.447,2.79,141.221,316.59,4.197,124.07,108.764,38.072,16.531,0,5.855,0,"A",0,0,11.4,755,"2004Q4",1397,"http://www.sec.gov/Archives/edgar/data/4611/0001171520-05-000152.txt",4611,"10-K","AMERICAN BILTRITE INC","31.12.2004","30.03.2005"
"32",1397,1,"31.12.2005",1397,"31.12.2005",2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",204.937,356.844,40.828,3.442,39.513,1.963,157.192,336.994,-4.229,115.336,114.054,18.485,21.343,1.4,6.885,0,"A",0,0,10.85,759,"2005Q4",1397,"http://www.sec.gov/Archives/edgar/data/4611/0001171520-06-000125.txt",4611,"10-K","AMERICAN BILTRITE INC","31.12.2005","31.03.2006"
"33",1397,1,"31.12.2006",1397,"31.12.2006",2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",182.322,331.672,30.836,3.442,33.708,8.971,141.44,312.55,4.387,106.38,97.877,18.035,4.095,0,6.417,0,"A",0,0,9.18,763,"2006Q4",1397,"http://www.sec.gov/Archives/edgar/data/4611/0001171520-07-000118.txt",4611,"10-K","AMERICAN BILTRITE INC","31.12.2006","02.04.2007"
"34",1397,1,"31.12.2007",1397,"31.12.2007",2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",177.394,321.799,36.686,3.442,32.685,6.725,136.219,300.837,5.016,99.153,97.733,19.869,1.337,0,6.219,0,"A",0,0,5,767,"2007Q4",1397,"http://www.sec.gov/Archives/edgar/data/4611/0001171520-08-000197.txt",4611,"10-K","AMERICAN BILTRITE INC","31.12.2007","31.03.2008"
"35",1496,1,"31.12.2005",1496,"31.12.2005",2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",10.666,15.099,1.278,1.546,0.138,2.178,3.305,6.627,-1.35,4.376,7.015,8.472,0,0,0.476,0,"A",0,0,5.92,893,"2005Q4",1496,"http://www.sec.gov/Archives/edgar/data/8855/0001047469-07-006807.txt",8855,"10-K","AMERICAN LOCKER GROUP INC","31.12.2005","31.08.2007"
