"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"1291",6631,12472,1,"30.09.2006",12472,"30.09.2006","2006Q3","2006Q2",1291
"1305",6674,12485,1,"31.12.2005",12485,"31.12.2005","2005Q4","2005Q4",1305
"1309",6696,12519,1,"30.06.2006",12519,"30.06.2006","2006Q2","2006Q2",1309
"1331",6734,12575,1,"30.06.2006",12575,"30.06.2006","2006Q2","2006Q1",1331
"1354",6766,12589,1,"31.03.2007",12589,"31.03.2007","2007Q1","2007Q1",1354
"1355",6783,12620,1,"30.04.2006",12620,"30.04.2006","2006Q1","2005Q4",1355
"1356",6795,12621,1,"30.06.2004",12621,"30.06.2004","2004Q2","2004Q2",1356
"1368",6821,12669,1,"31.12.2005",12669,"31.12.2005","2005Q4","2005Q4",1368
"1391",6884,12684,1,"31.03.2007",12684,"31.03.2007","2007Q1","2007Q1",1391
"1395",6903,12689,1,"30.11.2006",12689,"30.11.2006","2006Q4","2006Q4",1395
"1402",6917,12697,1,"30.06.2005",12697,"30.06.2005","2005Q2","2005Q2",1402
"1403",6923,12697,1,"31.12.2006",12697,"31.12.2006","2006Q4","2006Q4",1403
"1405",6940,12708,1,"30.09.2006",12708,"30.09.2006","2006Q3","2006Q3",1405
"1406",6962,12734,1,"31.03.2007",12734,"31.03.2007","2007Q1","2007Q3",1406
"1408",6982,12785,1,"30.09.2007",12785,"30.09.2007","2007Q3","2007Q4",1408
"1409",6988,12818,1,"30.06.2006",12818,"30.06.2006","2006Q2","2006Q4",1409
"1432",7049,12868,1,"31.07.2007",12868,"31.07.2007","2007Q2","2007Q3",1432
"1434",7058,12877,1,"31.12.2004",12877,"31.12.2004","2004Q4","2005Q2",1434
"1436",7065,12877,1,"30.09.2006",12877,"30.09.2006","2006Q3","2007Q1",1436
"1438",7084,12895,1,"31.12.2006",12895,"31.12.2006","2006Q4","2006Q4",1438
"1439",7095,12964,1,"30.09.2004",12964,"30.09.2004","2004Q3","2004Q3",1439
"1447",7143,13034,1,"31.01.2007",13034,"31.01.2007","2006Q4","2007Q1",1447
"1458",7167,13071,1,"30.04.2005",13071,"30.04.2005","2005Q1","2005Q2",1458
"1463",7211,13163,1,"31.03.2007",13163,"31.03.2007","2007Q1","2006Q4",1463
"1465",7223,13169,1,"31.03.2005",13169,"31.03.2005","2005Q1","2005Q1",1465
"1477",7244,13193,1,"30.09.2005",13193,"30.09.2005","2005Q3","2005Q3",1477
"1487",7303,13289,1,"30.06.2006",13289,"30.06.2006","2006Q2","2006Q4",1487
"1489",7324,13311,1,"31.03.2007",13311,"31.03.2007","2007Q1","2007Q1",1489
"1492",7336,13328,1,"31.01.2005",13328,"31.01.2005","2004Q4","2004Q4",1492
"1504",7380,13375,1,"30.06.2004",13375,"30.06.2004","2004Q2","2004Q2",1504
"1505",7404,13406,1,"30.06.2005",13406,"30.06.2005","2005Q2","2005Q2",1505
"1519",7442,13443,1,"31.10.2004",13443,"31.10.2004","2004Q3","2004Q4",1519
"1521",7461,13480,1,"30.09.2004",13480,"30.09.2004","2004Q3","2004Q3",1521
"1524",7490,13505,1,"31.12.2006",13505,"31.12.2006","2006Q4","2006Q3",1524
"1525",7500,13531,1,"30.04.2005",13531,"30.04.2005","2005Q1","2005Q1",1525
"1528",7512,13550,1,"31.12.2004",13550,"31.12.2004","2004Q4","2004Q4",1528
"1530",7522,13550,1,"30.06.2007",13550,"30.06.2007","2007Q2","2007Q2",1530
"1532",7540,13602,1,"31.10.2006",13602,"31.10.2006","2006Q3","2006Q2",1532
"1538",7571,13634,1,"30.09.2004",13634,"30.09.2004","2004Q3","2004Q2",1538
"1542",7599,13680,1,"30.09.2006",13680,"30.09.2006","2006Q3","2006Q3",1542
"1547",7635,13712,1,"31.12.2005",13712,"31.12.2005","2005Q4","2005Q4",1547
"1548",7650,13765,1,"31.12.2005",13765,"31.12.2005","2005Q4","2006Q2",1548
"1554",7665,13789,1,"31.03.2005",13789,"31.03.2005","2005Q1","2005Q1",1554
"1571",7717,13839,1,"31.12.2005",13839,"31.12.2005","2005Q4","2005Q4",1571
"1572",7731,13842,1,"30.04.2004",13842,"30.04.2004","2004Q1","2004Q1",1572
"1573",7737,13853,1,"30.06.2004",13853,"30.06.2004","2004Q2","2004Q2",1573
"1593",7778,13990,1,"31.03.2006",13990,"31.03.2006","2006Q1","2006Q1",1593
"1608",7830,14150,1,"30.09.2005",14150,"30.09.2005","2005Q3","2005Q2",1608
"1610",7838,14150,1,"31.12.2007",14150,"31.12.2007","2007Q4","2007Q3",1610
"1618",7873,14252,1,"31.08.2005",14252,"31.08.2005","2005Q3","2005Q4",1618
"1632",7912,14369,1,"30.09.2005",14369,"30.09.2005","2005Q3","2005Q3",1632
"1640",7958,14395,1,"30.09.2007",14395,"30.09.2007","2007Q3","2007Q3",1640
"1644",7968,14450,1,"30.06.2005",14450,"30.06.2005","2005Q2","2005Q2",1644
"1646",7975,14450,1,"31.03.2007",14450,"31.03.2007","2007Q1","2007Q1",1646
"1648",7985,14457,1,"30.09.2004",14457,"30.09.2004","2004Q3","2004Q4",1648
