"","X","datadate","gvkey","viol","Year","Month","Day","Date","Index","gvkey.1","datadate.1","Year.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","Index.1"
"624",52629,3312005,8387,1,2005,3,31,"31.03.2005",13987,8387,"31.03.2005",2005,2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",12.11,144.147,1.382,21.05,0,35.5,41.748,86.192,6.386,123.324,12.823,57.955,0,0,20.772,0,"A",0,0,21.13,14992
"625",52653,9302005,8387,1,2005,9,30,"30.09.2005",13995,8387,"30.09.2005",2005,2005,3,"INDL","C","D","STD","USD","2005Q3","2005Q3",13.402,227.663,2.056,24.787,0,36,81.648,137.253,9.751,194.14,17.837,90.41,0,0,106.228,NA,"A",0,0,23.47,14994
"626",53503,12312005,8486,1,2005,12,31,"31.12.2005",14196,8486,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",805.89,915.256,139.848,26.038,16.281,39.969,652.555,732.081,19.645,72.813,603.226,183.175,0,73.567,12.347,7.53,"A",0,0,24.15,15218
"627",53638,3312006,8512,1,2006,3,31,"31.03.2006",14233,8512,"31.03.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",129.477,423.5,81.494,16.057,0,44,146.673,233.351,24.902,292.05,82.77,190.149,27.91,0,23.025,10.153,"A",0,0,45.36,15274
"628",53639,3312007,8512,1,2007,3,31,"31.03.2007",14234,8512,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",128.367,779.522,62.428,14.886,0,60,198.341,416.657,16.931,647.802,57.912,362.865,118.213,144.218,13.378,0.135,"A",0,0,53.57,15278
"629",53649,6302005,8512,1,2005,6,30,"30.06.2005",14236,8512,"30.06.2005",2005,2005,2,"INDL","C","D","STD","USD","2005Q2","2005Q2",144.602,377.684,96.52,16.268,0,22,146.969,210.266,17.852,230.532,78.497,167.418,27.606,0,42.215,7.879,"A",0,0,31.85,15271
"630",53651,6302007,8512,1,2007,6,30,"30.06.2007",14238,8512,"30.06.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q2","2007Q2",132.155,836.683,36.489,14.888,0,124,168.812,454.638,21.862,698.525,75.945,381.253,126.557,201.594,73.122,0.343,"A",0,0,47.48,15279
"631",53662,9302006,8512,1,2006,9,30,"30.09.2006",14241,8512,"30.09.2006",2006,2006,3,"INDL","C","D","STD","USD","2006Q3","2006Q3",82.079,773.422,11.791,15.105,0,85,140.202,406.403,20.87,689.754,70.817,367.019,139.375,0,435.017,52.639,"A",0,0,39.89,15276
"632",53663,9302007,8512,1,2007,9,30,"30.09.2007",14242,8512,"30.09.2007",2007,2007,3,"INDL","C","D","STD","USD","2007Q3","2007Q3",141.546,933.751,43.422,14.903,0,172,199.086,546.136,30.464,782.667,76.275,386.839,135.68,201.594,158.727,0.346,"A",0,0,44.35,15280
"633",53673,12312005,8512,1,2005,12,31,"31.12.2005",14244,8512,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",168.701,449.085,91.611,16.282,0,24,194.532,260.82,26.442,277.158,116.681,188.265,26.889,0,106.469,7.879,"A",0,0,33.34,15273
