"","X","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","quarter","X.1","X.2","Index"
"3075",3075,"2004Q1",1440,"http://www.sec.gov/Archives/edgar/data/4904/0000004904-04-000091.txt",4904,"10-Q","AMERICAN ELECTRIC POWER CO INC","16161","16198",20041,NA,NA,744
"3126",3126,"2004Q1",1441,"http://www.sec.gov/Archives/edgar/data/352281/0000950128-04-000610.txt",352281,"10QSB","EQUIDYNE CORP","16191","16236",20041,NA,NA,760
"3168",3168,"2004Q1",1444,"http://www.sec.gov/Archives/edgar/data/315428/0001144204-04-007045.txt",315428,"10QSB","AMERICAN VANTAGE COMPANIES","16161","16209",20041,NA,NA,761
"3215",3215,"2004Q1",1468,"http://www.sec.gov/Archives/edgar/data/5133/0000950152-04-003579.txt",5133,"10-K","AMERICAN GREETINGS CORP","16130","16195",20041,NA,NA,768
"3267",3267,"2004Q1",1478,"http://www.sec.gov/Archives/edgar/data/5187/0000005187-04-000088.txt",5187,"10-Q","WYETH","16161","16201",20041,NA,NA,784
"3341",3341,"2004Q1",1496,"http://www.sec.gov/Archives/edgar/data/8855/0000898431-04-000069.txt",8855,"10-Q","AMERICAN LOCKER GROUP INC","16161","16203",20041,NA,NA,800
"3418",3418,"2004Q1",1511,"http://www.sec.gov/Archives/edgar/data/319016/0000950136-04-001143.txt",319016,"10QSB","GOLF ROUNDS COM INC","16130","16175",20041,NA,NA,813
"3469",3469,"2004Q1",1518,"http://www.sec.gov/Archives/edgar/data/763730/0000763730-04-000006.txt",763730,"10QSB","GALLERY OF HISTORY INC","16161","16205",20041,NA,NA,829
"3521",3521,"2004Q1",1523,"http://www.sec.gov/Archives/edgar/data/700721/0000910680-04-000523.txt",700721,"10QSB","AMERICAN MEDICAL ALERT CORP","16161","16205",20041,NA,NA,845
"3591",3591,"2004Q1",1533,"http://www.sec.gov/Archives/edgar/data/350832/0001206774-04-000503.txt",350832,"10-Q","AMERICAN PACIFIC CORP","16161","16204",20041,NA,NA,861
"3681",3681,"2004Q1",1554,"http://www.sec.gov/Archives/edgar/data/5768/0001047469-04-020329.txt",5768,"10-K","AMERICAN SCIENCE & ENGINEERING INC","16161","16236",20041,NA,NA,877
"3733",3733,"2004Q1",1559,"http://www.sec.gov/Archives/edgar/data/744825/0000950134-04-007512.txt",744825,"10-Q","AMERICAN SHARED HOSPITAL SERVICES","16161","16205",20041,NA,NA,893
"3785",3785,"2004Q1",1562,"http://www.sec.gov/Archives/edgar/data/713425/0001193125-04-118173.txt",713425,"10-K","AMERICAN SOFTWARE INC","16191","16266",20041,NA,NA,909
"3836",3836,"2004Q1",1567,"http://www.sec.gov/Archives/edgar/data/836102/0000950123-04-005501.txt",836102,"10-Q","AMERICAN STANDARD COMPANIES INC","16161","16191",20041,NA,NA,925
"3896",3896,"2004Q1",1577,"http://www.sec.gov/Archives/edgar/data/766430/0000950136-04-001555.txt",766430,"10-Q","AMERICAN TECHNICAL CERAMICS CORP","16161","16204",20041,NA,NA,941
"3941",3941,"2004Q1",1581,"http://www.sec.gov/Archives/edgar/data/5907/0000005907-04-000069.txt",5907,"10-Q","AT&T CORP","16161","16201",20041,NA,NA,955
"3979",3979,"2004Q1",1585,"http://www.sec.gov/Archives/edgar/data/5981/0001193125-04-089909.txt",5981,"10-Q","AMERICAN VANGUARD CORP","16161","16208",20041,NA,NA,962
"4056",4056,"2004Q1",1593,"http://www.sec.gov/Archives/edgar/data/790730/0000790730-04-000001.txt",790730,"10-Q","AMERON INTERNATIONAL CORP","16130","16156",20041,NA,NA,978
"4120",4120,"2004Q1",1598,"http://www.sec.gov/Archives/edgar/data/1037868/0000893220-04-000952.txt",1037868,"10-Q","AMETEK INC/","16161","16198",20041,NA,NA,994
"4172",4172,"2004Q1",1602,"http://www.sec.gov/Archives/edgar/data/318154/0000950129-04-002691.txt",318154,"10-Q","AMGEN INC","16161","16194",20041,NA,NA,1010
"4223",4223,"2004Q2",1606,"http://www.sec.gov/Archives/edgar/data/741559/0001019687-04-001694.txt",741559,"10QSB","AMISTAR CORP","16252","16288",20042,NA,NA,1026
"4276",4276,"2004Q1",1611,"http://www.sec.gov/Archives/edgar/data/731859/0001178913-04-000615.txt",731859,"10-Q","AMPAL-AMERICAN ISRAEL CORP","16161","16204",20041,NA,NA,1036
"4323",4323,"2004Q1",1613,"http://www.sec.gov/Archives/edgar/data/6176/0000006176-04-000004.txt",6176,"10-Q","AMPCO PITTSBURGH CORP","16161","16198",20041,NA,NA,1047
"4375",4375,"2004Q1",1627,"http://www.sec.gov/Archives/edgar/data/6260/0000006260-04-000013.txt",6260,"10-Q","ANACOMP INC","16161","16205",20041,NA,NA,1063
"4407",4407,"2004Q1",1632,"http://www.sec.gov/Archives/edgar/data/6281/0000950135-04-002709.txt",6281,"10-Q","ANALOG DEVICES INC","16192","16209",20041,NA,NA,1066
"4458",4458,"2004Q1",1633,"http://www.sec.gov/Archives/edgar/data/6284/0000950135-04-003028.txt",6284,"10-Q","ANALOGIC CORP","16191","16232",20041,NA,NA,1081
"4508",4508,"2004Q1",1634,"http://www.sec.gov/Archives/edgar/data/6292/0001104659-04-013992.txt",6292,"10-Q","ANALYSTS INTERNATIONAL CORP","16164","16203",20041,NA,NA,1097
"4560",4560,"2004Q1",1635,"http://www.sec.gov/Archives/edgar/data/6314/0000891092-04-002170.txt",6314,"10-Q","ANAREN  INC","16161","16194",20041,NA,NA,1113
"4612",4612,"2004Q2",1641,"http://www.sec.gov/Archives/edgar/data/6383/0000006383-04-000020.txt",6383,"10-Q","MOSCOW CABLECOM CORP","16222","16272",20042,NA,NA,1129
"4655",4655,"2004Q1",1642,"http://www.sec.gov/Archives/edgar/data/778808/0001193125-04-093639.txt",778808,"10QSB","CROWN ANDERSEN INC","16161","16215",20041,NA,NA,1141
"4688",4688,"2004Q1",1650,"http://www.sec.gov/Archives/edgar/data/6494/0001193125-04-088969.txt",6494,"10QSB","ANDREA ELECTRONICS CORP","16161","16205",20041,NA,NA,1143
"4740",4740,"2004Q1",1651,"http://www.sec.gov/Archives/edgar/data/317093/0001104659-04-014273.txt",317093,"10-Q","ANDREW CORP","16161","16204",20041,NA,NA,1159
"4786",4786,"2004Q1",1655,"http://www.sec.gov/Archives/edgar/data/6571/0001068800-04-000395.txt",6571,"10-Q","ANGELICA CORP /NEW/","16192","16232",20041,NA,NA,1174
"4842",4842,"2004Q1",1659,"http://www.sec.gov/Archives/edgar/data/821026/0000950152-04-003743.txt",821026,"10-Q","ANDERSONS INC","16161","16198",20041,NA,NA,1189
"4894",4894,"2004Q1",1663,"http://www.sec.gov/Archives/edgar/data/310569/0001068800-04-000298.txt",310569,"10-Q","ANHEUSER BUSCH COMPANIES INC","16161","16191",20041,NA,NA,1205
"4941",4941,"2004Q1",1669,"http://www.sec.gov/Archives/edgar/data/1169237/0001072613-04-001042.txt",1169237,"10-Q","BIW LTD","16161","16205",20041,NA,NA,1206
"4987",4987,"2004Q1",1677,"http://www.sec.gov/Archives/edgar/data/6720/0001193125-04-082161.txt",6720,"10-Q","K2 INC","16161","16198",20041,NA,NA,1221
"5031",5031,"2004Q1",1678,"http://www.sec.gov/Archives/edgar/data/6769/0000950129-04-003078.txt",6769,"10-Q","APACHE CORP","16161","16201",20041,NA,NA,1234
"5074",5074,"2004Q2",1681,"http://www.sec.gov/Archives/edgar/data/726435/0000726435-04-000003.txt",726435,"10QSB","WINCROFT INC","16252","16296",20042,NA,NA,1250
"5119",5119,"2004Q1",1686,"http://www.sec.gov/Archives/edgar/data/6845/0001193125-04-079352.txt",6845,"10-K","APOGEE ENTERPRISES INC","16129","16196",20041,NA,NA,1261
"5171",5171,"2004Q1",1690,"http://www.sec.gov/Archives/edgar/data/320193/0001104659-04-013021.txt",320193,"10-Q","APPLE COMPUTER INC","16157","16197",20041,NA,NA,1277
"5235",5235,"2004Q1",1704,"http://www.sec.gov/Archives/edgar/data/6951/0000950134-04-008662.txt",6951,"10-Q","APPLIED MATERIALS INC /DE","16193","16232",20041,NA,NA,1293
"5287",5287,"2004Q1",1705,"http://www.sec.gov/Archives/edgar/data/312258/0001079973-04-000347.txt",312258,"10KSB","APPLIED MEDICAL DEVICES INC","16191","16281",20041,NA,NA,1309
"5336",5336,"2004Q1",1706,"http://www.sec.gov/Archives/edgar/data/6955/0001193125-04-060358.txt",6955,"10-Q","ACTUANT CORP","16130","16173",20041,NA,NA,1325
"5389",5389,"2004Q1",1712,"http://www.sec.gov/Archives/edgar/data/7039/0000950134-04-010493.txt",7039,"10-Q","ARABIAN AMERICAN DEVELOPMENT CO","16161","16275",20041,NA,NA,1341
"5444",5444,"2004Q1",1722,"http://www.sec.gov/Archives/edgar/data/7084/0000007084-04-000197.txt",7084,"10-Q","ARCHER DANIELS MIDLAND CO","16161","16205",20041,NA,NA,1357
"5496",5496,"2004Q1",1728,"http://www.sec.gov/Archives/edgar/data/225051/0001104659-04-013459.txt",225051,"10-Q","ARDEN GROUP INC","16164","16201",20041,NA,NA,1373
"5548",5548,"2004Q1",1743,"http://www.sec.gov/Archives/edgar/data/894405/0000950134-04-006590.txt",894405,"10-Q","ARKANSAS BEST CORP /DE/","16161","16195",20041,NA,NA,1389
"5623",5623,"2004Q1",1762,"http://www.sec.gov/Archives/edgar/data/1109304/0001193125-04-074182.txt",1109304,"10-Q","ARMSTRONG HOLDINGS INC /PA/","16161","16190",20041,NA,NA,1405
"5698",5698,"2004Q1",1773,"http://www.sec.gov/Archives/edgar/data/7536/0000950123-04-005969.txt",7536,"10-Q","ARROW ELECTRONICS INC","16161","16198",20041,NA,NA,1420
"5772",5772,"2004Q1",1783,"http://www.sec.gov/Archives/edgar/data/7623/0000007623-04-000005.txt",7623,"10QSB","ARTS WAY MANUFACTURING CO INC","16130","16174",20041,NA,NA,1436
"5844",5844,"2004Q1",1794,"http://www.sec.gov/Archives/edgar/data/7694/0000007694-04-000063.txt",7694,"10-Q","ASHLAND INC","16161","16202",20041,NA,NA,1452
"5847",5847,"2005Q2",1794,"http://www.sec.gov/Archives/edgar/data/1305014/0001305014-05-000071.txt",1305014,"10-Q","ASHLAND INC.","16617","16656",20052,NA,NA,1455
"5894",5894,"2004Q1",1797,"http://www.sec.gov/Archives/edgar/data/319458/0001050502-04-000227.txt",319458,"10QSB","ASPEN EXPLORATION CORP","16161","16203",20041,NA,NA,1466
"5978",5978,"2004Q1",1820,"http://www.sec.gov/Archives/edgar/data/8146/0001193125-04-100609.txt",8146,"10-Q","ASTRO MED INC /NEW/","16192","16231",20041,NA,NA,1482
"6057",6057,"2004Q2",1823,"http://www.sec.gov/Archives/edgar/data/8063/0000899797-04-000162.txt",8063,"10-Q","ASTRONICS CORP","16205","16205",20042,NA,NA,1498
"6131",6131,"2004Q1",1837,"http://www.sec.gov/Archives/edgar/data/1004155/0001004155-04-000025.txt",1004155,"10-Q","AGL RESOURCES INC","16161","16189",20041,NA,NA,1512
"6245",6245,"2004Q1",1860,"http://www.sec.gov/Archives/edgar/data/8411/0000008411-04-000044.txt",8411,"10-Q","ATWOOD OCEANICS INC","16161","16202",20041,NA,NA,1528
"6297",6297,"2004Q1",1864,"http://www.sec.gov/Archives/edgar/data/744187/0000950117-04-002140.txt",744187,"10-Q","REX STORES CORP","16191","16231",20041,NA,NA,1544
"6349",6349,"2004Q1",1866,"http://www.sec.gov/Archives/edgar/data/723639/0000897101-04-000730.txt",723639,"10-Q","AULT INC","16130","16175",20041,NA,NA,1560
"6446",6446,"2004Q1",1878,"http://www.sec.gov/Archives/edgar/data/769397/0001193125-04-100924.txt",769397,"10-Q","AUTODESK INC","16191","16231",20041,NA,NA,1566
"6498",6498,"2004Q1",1884,"http://www.sec.gov/Archives/edgar/data/201653/0001144204-04-006803.txt",201653,"10-Q","DIALYSIS CORP OF AMERICA","16161","16208",20041,NA,NA,1582
"6550",6550,"2004Q1",1891,"http://www.sec.gov/Archives/edgar/data/8670/0000008670-04-000085.txt",8670,"10-Q","AUTOMATIC DATA PROCESSING INC","16161","16201",20041,NA,NA,1598
"6615",6615,"2004Q1",1902,"http://www.sec.gov/Archives/edgar/data/718007/0000926236-04-000074.txt",718007,"10-Q","CARRINGTON LABORATORIES INC /TX/","16161","16204",20041,NA,NA,1614
"6665",6665,"2004Q1",1906,"http://www.sec.gov/Archives/edgar/data/39677/0000950144-04-004969.txt",39677,"10-Q","AVATAR HOLDINGS INC","16161","16197",20041,NA,NA,1630
"6716",6716,"2004Q1",1913,"http://www.sec.gov/Archives/edgar/data/8818/0001193125-04-079538.txt",8818,"10-Q","AVERY DENNISON CORPORATION","16157","16197",20041,NA,NA,1645
"6768",6768,"2004Q1",1914,"http://www.sec.gov/Archives/edgar/data/701650/0001193125-04-072323.txt",701650,"10-Q","AVIALL INC","16161","16189",20041,NA,NA,1661
"6809",6809,"2004Q1",1919,"http://www.sec.gov/Archives/edgar/data/8858/0000950153-04-001263.txt",8858,"10-Q","AVNET INC","16164","16209",20041,NA,NA,1671
"6861",6861,"2004Q1",1920,"http://www.sec.gov/Archives/edgar/data/8868/0000950103-04-000638.txt",8868,"10-Q","AVON PRODUCTS INC","16161","16191",20041,NA,NA,1687
"6922",6922,"2004Q1",1926,"http://www.sec.gov/Archives/edgar/data/8947/0001193125-04-094778.txt",8947,"10-K","AZZ INC","16130","16217",20041,NA,NA,1703
"7022",7022,"2004Q1",1951,"http://www.sec.gov/Archives/edgar/data/320174/0000096313-04-000089.txt",320174,"10QSB","BSD MEDICAL CORP","16130","16175",20041,NA,NA,1719
"7090",7090,"2004Q1",1968,"http://www.sec.gov/Archives/edgar/data/9092/0000950137-04-003069.txt",9092,"10-Q","BADGER METER INC","16161","16183",20041,NA,NA,1735
"7142",7142,"2004Q1",1969,"http://www.sec.gov/Archives/edgar/data/9096/0000897069-04-001042.txt",9096,"10-Q","BADGER PAPER MILLS INC","16161","16205",20041,NA,NA,1751
"7179",7179,"2004Q1",1971,"http://www.sec.gov/Archives/edgar/data/350750/0000350750-04-000019.txt",350750,"10-Q","BAIRNCO CORP /DE/","16164","16184",20041,NA,NA,1757
"7222",7222,"2004Q1",1974,"http://www.sec.gov/Archives/edgar/data/9263/0000950128-04-000504.txt",9263,"10-Q","BAKER MICHAEL CORP","16161","16201",20041,NA,NA,1769
"7271",7271,"2004Q1",1976,"http://www.sec.gov/Archives/edgar/data/808362/0000950129-04-002817.txt",808362,"10-Q","BAKER HUGHES INC","16161","16196",20041,NA,NA,1785
"7322",7322,"2004Q1",1979,"http://www.sec.gov/Archives/edgar/data/9326/0000914317-04-001956.txt",9326,"10-Q","BALCHEM CORP","16161","16201",20041,NA,NA,1801
"7373",7373,"2004Q1",1981,"http://www.sec.gov/Archives/edgar/data/9342/0001193125-04-086221.txt",9342,"10-Q","BALDOR ELECTRIC CO","16164","16203",20041,NA,NA,1817
"7425",7425,"2004Q1",1988,"http://www.sec.gov/Archives/edgar/data/9389/0000009389-04-000173.txt",9389,"10-Q","BALL CORP","16165","16203",20041,NA,NA,1833
"7512",7512,"2004Q1",1995,"http://www.sec.gov/Archives/edgar/data/1004440/0001047469-04-016399.txt",1004440,"10-Q","CONSTELLATION ENERGY GROUP INC","16161","16198",20041,NA,NA,1849
"7547",7547,"2007Q1",2006,"http://www.sec.gov/Archives/edgar/data/318378/0001104659-07-040153.txt",318378,"10-Q","BANCTEC INC","17256","17301",20071,NA,NA,1865
"7578",7578,"2004Q1",2008,"http://www.sec.gov/Archives/edgar/data/9534/0000897069-04-000973.txt",9534,"10-Q","BANDAG INC","16161","16196",20041,NA,NA,1866
"7642",7642,"2004Q1",2033,"http://www.sec.gov/Archives/edgar/data/9779/0000009779-04-000022.txt",9779,"10-Q","FAIRCHILD CORP","16161","16205",20041,NA,NA,1879
"7691",7691,"2004Q1",2034,"http://www.sec.gov/Archives/edgar/data/9801/0000897069-04-001002.txt",9801,"10-Q","BANTA CORP","16164","16201",20041,NA,NA,1895
"7733",7733,"2004Q1",2044,"http://www.sec.gov/Archives/edgar/data/9892/0000009892-04-000074.txt",9892,"10-Q","BARD C R INC /NJ/","16161","16191",20041,NA,NA,1906
"7785",7785,"2004Q1",2049,"http://www.sec.gov/Archives/edgar/data/9984/0000009984-04-000113.txt",9984,"10-Q","BARNES GROUP INC","16161","16198",20041,NA,NA,1922
"7837",7837,"2004Q1",2052,"http://www.sec.gov/Archives/edgar/data/10048/0001104659-04-014537.txt",10048,"10QSB","BARNWELL INDUSTRIES INC","16161","16205",20041,NA,NA,1938
