"","Gvkey","CIK"
"1337",3505,24545
"1341",3515,NA
"1345",3532,24741
"1349",3533,1582244
"1353",3547,718096
"1357",3556,25212
"1361",3570,1067294
"1365",3580,25445
"1369",3584,712815
"1371",3594,277924
"1375",3600,25657
"1379",3607,1091862
"1383",3612,25793
"1387",3619,1219601
"1391",3622,25895
"1395",3639,26076
"1399",3647,723603
"1403",3650,26172
"1407",3662,26324
"1411",3691,109657
"1415",3707,714603
"1419",3711,NA
"1420",3734,26780
"1424",3735,313616
"1428",3756,26987
"1430",3761,351998
"1434",3762,350194
"1438",3773,704914
"1439",3782,205239
"1441",3785,NA
"1445",3786,27096
"1449",3793,708250
"1453",3806,799165
"1457",3807,27367
"1461",3813,27419
"1465",3814,787250
"1469",3820,1519380
"1473",3824,715779
"1477",3833,27613
"1481",3835,315189
"1485",3839,27748
"1489",3840,27751
"1491",3851,27904
"1495",3855,277375
"1499",3863,27996
"1503",3872,28146
"1507",3895,28372
"1511",3897,936340
"1515",3905,730464
"1519",3908,28561
"1523",3916,28626
"1527",3917,702259
"1531",3918,28630
"1535",3934,28742
"1539",3937,939930
"1543",3946,28823
"1547",3949,28866
"1551",3962,722313
"1555",3964,28917
"1559",3969,29002
"1563",3971,708850
"1567",3972,29006
"1571",3980,1001039
"1575",3983,59963
"1577",4001,29332
"1581",4005,14995
"1583",4016,29534
"1587",4029,715957
"1591",4036,29644
"1595",4040,29669
"1599",4049,29806
"1603",4051,351809
"1607",4052,29834
"1611",4058,29905
"1615",4060,1666700
"1619",4062,29924
"1623",4066,29989
"1627",4072,1498301
"1631",4077,30140
"1635",4078,1189712
"1639",4087,30554
"1643",4090,30302
"1647",4091,30305
"1651",4093,1326160
"1655",4094,1115222
"1659",4103,846930
"1663",4108,30625
"1667",4115,67215
"1671",4124,720875
"1675",4127,30822
"1679",4128,30828
"1683",4130,30831
"1687",4145,31791
"1691",4149,NA
"1695",4156,350846
"1699",4162,727008
"1703",4168,30927
"1705",4173,30966
"1709",4186,31107
"1713",4194,31235
"1717",4199,1551182
"1721",4213,31462
"1725",4222,31617
"1729",4225,31667
"1733",4241,31978
"1737",4242,1066107
"1741",4251,32017
"1745",4273,32166
"1749",4274,726514
"1753",4275,351789
"1757",4279,32198
"1761",4292,773547
"1765",4321,32604
"1769",4322,32621
"1773",4331,32689
"1777",4340,350917
"1781",4341,714284
"1785",4351,277595
"1789",4352,32878
"1793",4371,352947
"1797",4372,772891
"1801",4383,731802
"1805",4390,33002
"1809",4409,727510
"1813",4412,33073
"1817",4415,33113
"1821",4418,316253
"1825",4423,33185
"1829",4430,33213
"1833",4448,33488
"1837",4450,33533
"1841",4456,355199
"1845",4460,33619
"1849",4462,1282637
"1853",4467,276283
"1857",4476,753568
"1861",4477,1125536
"1865",4494,746515
"1869",4496,313395
"1873",4497,34067
"1877",4498,764401
"1881",4503,34088
"1885",4510,37785
"1889",4515,38570
"1893",4517,753308
"1897",4520,34136
"1901",4523,34151
"1905",4553,34339
"1906",4560,34408
"1910",4568,34471
"1914",4572,34497
"1918",4579,34563
"1922",4595,744106
"1926",4598,1048911
"1930",4600,1419581
"1934",4607,34908
"1938",4608,277509
"1942",4611,794367
"1946",4622,35214
"1950",4645,719164
"1954",4675,109831
"1958",4695,730669
"1962",4758,37358
"1966",4759,12040
"1970",4768,314132
"1974",4771,37472
"1978",4790,1360951
"1982",4801,37643
"1986",4802,37651
"1990",4807,713002
"1994",4809,1128928
"1998",4818,1124198
"2002",4826,355019
"2006",4828,37912
"2010",4830,37914
"2014",4839,37996
"2018",4843,38074
"2022",4844,NA
"2026",4860,352825
"2030",4881,38725
"2034",4900,39020
"2038",4903,39092
"2042",4911,39047
"2046",4918,39273
"2050",4926,39368
"2054",4932,39547
"2057",4936,39648
"2061",4941,40211
"2065",4988,39899
"2069",4990,39911
"2073",5018,40888
"2077",5020,318771
"2081",5032,40461
"2085",5043,40518
"2089",5045,40528
"2093",5046,40533
"2097",5047,40545
"2101",5050,40570
"2105",5065,40675
"2109",5071,40704
"2113",5073,1467858
"2117",5074,1007456
"2121",5087,88205
"2125",5109,18498
"2129",5111,40934
"2133",5116,355811
"2137",5125,40987
"2141",5129,NA
"2145",5134,41077
"2149",5142,41133
"2153",5152,41296
"2155",5165,719274
"2159",5169,41499
"2163",5179,41719
"2167",5202,42050
"2171",5210,42228
"2175",5215,42284
"2179",5218,42316
"2183",5229,42542
"2187",5234,42582
"2191",5237,42682
"2195",5250,1045309
"2199",5252,42888
"2203",5254,716314
"2207",5256,277135
"2211",5284,43196
"2215",5301,43300
"2219",5306,43362
"2223",5327,26820
"2227",5330,43704
"2231",5336,94784
"2235",5338,43920
"2239",5340,43952
"2241",5379,1030749
"2245",5404,351298
"2249",5405,318189
"2253",5418,355699
"2257",5421,723906
"2261",5422,44800
"2265",5432,720671
"2269",5439,45012
"2273",5442,355766
"2277",5458,314727
"2281",5475,313478
"2285",5476,45599
"2289",5479,45621
"2293",5488,45694
"2297",5492,202058
"2301",5496,45876
"2305",5505,723371
"2309",5513,46043
"2313",5518,46080
"2317",5520,46129
"2321",5523,216085
"2325",5526,354707
"2329",5530,46250
"2333",5539,731012
"2337",5549,46445
"2339",5559,874238
"2343",5560,719413
"2347",5567,46619
"2351",5568,1637459
"2355",5569,46653
"2359",5578,46709
"2363",5581,46765
"2367",5589,46989
"2371",5594,47035
"2375",5597,47111
"2379",5600,1657853
"2383",5606,47217
"2387",5608,717605
"2391",5621,47307
"2395",5639,47518
"2399",5643,1585689
"2403",5667,48039
"2407",5671,1656239
"2411",5680,354950
"2415",5687,48272
"2417",5690,48287
"2421",5697,741815
"2425",5709,48465
"2429",5711,320333
"2433",5723,316206
"2437",5726,48638
"2441",5742,1130310
"2445",5750,357294
"2449",5764,48898
"2453",5774,49029
"2457",5783,728535
"2461",5788,315374
"2465",5791,772897
"2469",5792,1093082
"2473",5802,49401
"2477",5811,704432
"2481",5818,715593
"2485",5824,1084230
"2489",5826,353567
"2493",5831,49728
"2497",5841,716054
"2501",5847,52532
"2505",5860,216228
"2509",5862,52827
"2513",5870,1057877
"2517",5878,49826
"2521",5888,352998
"2525",5899,49930
"2529",5902,722830
"2533",5918,1096385
"2537",5932,50292
"2541",5944,50420
"2545",5962,723574
"2549",5968,1481582
"2553",5973,50601
"2557",5977,355431
"2561",5978,353020
"2565",5980,722079
"2569",5987,50725
"2573",6003,703361
"2577",6008,50863
"2581",6013,320340
"2585",6020,350066
"2589",6021,719494
"2593",6025,50957
"2597",6033,51011
"2601",6034,715787
"2605",6036,351145
"2609",6039,351012
"2613",6040,764839
"2617",6044,745287
"2621",6053,51103
"2625",6054,351532
"2629",6062,51124
"2632",6066,51143
"2636",6078,51253
"2640",6081,808450
"2644",6097,353944
"2648",6104,51434
"2652",6109,316793
"2656",6110,319240
"2660",6115,278041
"2664",6116,51548
"2668",6124,320573
"2672",6125,354813
"2676",6130,728249
"2680",6136,51644
"2684",6140,829499
"2688",6152,764244
"2692",6158,742112
"2696",6159,719582
"2699",6169,352789
"2703",6170,225501
"2707",6171,52466
"2709",6185,357108
"2713",6193,52708
"2716",6194,719209
"2720",6196,52795
"2724",6207,216275
"2728",6214,52969
"2732",6215,52971
"2736",6216,52988
"2740",6223,105634
"2744",6242,94610
"2748",6259,53500
"2752",6266,200406
"2756",6268,833444
"2760",6285,54003
"2764",6297,723888
"2768",6304,319201
"2772",6307,1310067
"2776",6308,724267
"2780",6310,1506307
"2784",6311,56868
"2788",6314,20
"2792",6315,57055
"2796",6326,54381
"2800",6331,54441
"2804",6334,1143068
"2808",6335,54480
"2812",6338,54507
"2816",6343,748212
"2819",6346,919628
"2823",6347,906469
"2827",6349,54681
"2831",6357,740694
"2835",6362,54883
"2839",6370,54991
"2843",6375,55067
"2847",6376,55080
"2851",6379,55135
"2855",6386,55242
"2859",6403,1141185
"2863",6410,55529
"2867",6416,719733
"2871",6424,55604
"2875",6428,722839
"2879",6431,55698
"2880",6433,55772
"2884",6435,55785
"2888",6437,55805
"2892",6452,773588
"2896",6461,56047
"2900",6464,353634
"2904",6467,719729
"2908",6471,56362
"2912",6475,205520
"2916",6497,56701
"2920",6500,56806
"2924",6502,56873
"2928",6509,56978
"2932",6527,763532
"2936",6528,60714
"2940",6529,703360
"2944",6532,357020
"2948",6534,57139
"2952",6543,57131
"2956",6547,1126956
"2960",6552,716783
"2964",6557,737874
"2968",6565,707549
"2972",6571,57497
"2976",6573,57515
"2980",6574,57528
"2984",6575,57538
"2985",6588,725460
"2989",6598,NA
"2993",6601,700892
"2997",6608,710597
"3001",6617,703604
"3005",6619,202375
"3009",6639,58361
"3013",6641,58411
"3017",6649,58492
"3021",6669,920760
"3025",6677,58822
"3029",6678,745394
"3033",6682,96223
"3037",6694,312065
"3041",6707,59229
"3045",6710,59240
"3048",6717,350557
"3052",6722,1302676
"3056",6730,59478
"3060",6733,701985
"3064",6737,59527
"3068",6740,717422
"3072",6741,59544
"3076",6748,59684
"3077",6768,352363
"3081",6774,936468
"3085",6788,315852
"3089",6797,791348
"3093",6799,1062379
"3097",6802,764762
"3101",6803,60302
"3105",6809,6814
"3109",6821,60519
"3113",6829,60667
"3117",6830,60751
"3121",6831,16099
"3125",6836,60849
"3129",6839,60876
"3133",6845,60977
"3137",6848,61004
"3141",6865,773141
"3145",6867,67716
"3149",6873,63814
"3153",6900,68709
"3157",6908,61138
"3161",6922,717238
"3165",6924,743884
"3169",6932,1161728
"3173",6936,NA
"3177",6963,1222497
"3181",6981,NA
"3185",6994,61986
"3189",6995,766561
"3193",7017,101778
"3197",7022,62234
"3201",7066,62737
"3205",7085,62996
"3209",7086,745448
"3213",7092,749038
"3217",7106,85608
"3221",7107,755003
"3225",7116,63276
"3229",7117,63330
"3233",7121,78966
"3237",7123,711039
"3241",7124,319815
"3245",7127,63416
"3249",7132,706471
"3253",7139,63541
"3257",7146,63754
"3261",7154,63908
"3265",7161,752714
"3269",7163,64040
"3273",7171,927653
"3277",7179,729284
"3281",7183,64463
"3285",7185,64472
"3289",7186,1170650
"3293",7192,719152
"3297",7203,NA
"3301",7205,748270
"3305",7208,64578
"3309",7228,1613103
"3313",7232,225628
"3317",7234,64708
"3318",7241,64803
"3322",7243,64647
"3326",7245,720896
"3330",7250,64892
"3334",7251,701811
"3338",7257,310158
"3342",7260,65011
"3346",7268,706864
"3350",7275,724004
"3354",7278,835768
"3358",7281,65201
"3362",7291,65270
"3366",7295,65312
"3370",7300,65358
"3374",7309,66418
"3378",7316,1593936
"3382",7331,320345
"3386",7336,NA
"3390",7343,723125
"3394",7344,65759
"3398",7346,310568
"3402",7350,716688
"3406",7366,65984
"3410",7368,66004
"3414",7389,317340
"3418",7390,66544
"3422",7401,66382
"3426",7409,66479
"3430",7420,66570
"3434",7422,316300
"3438",7435,66740
"3442",7437,66756
"3446",7448,66895
"3448",7481,67279
"3452",7486,67347
"3456",7504,702131
"3460",7506,67472
"3464",7510,202685
"3468",7512,67517
"3472",7526,353569
"3476",7549,67887
"3480",7561,62262
"3484",7566,68270
"3488",7575,68145
"3492",7576,747605
"3496",7585,68505
"3500",7602,68726
"3504",7620,717423
"3508",7632,69422
"3512",7636,69488
"3516",7637,1623613
"3520",7648,70866
"3524",7658,72162
"3528",7660,72170
"3532",7662,73290
"3536",7668,1105192
"3537",7672,1058033
"3541",7682,704532
"3545",7683,69623
"3549",7685,69633
"3553",7691,69671
"3557",7692,69680
"3561",7694,NA
"3565",7696,69733
"3569",7708,826495
"3572",7733,70145
"3576",7741,1047335
"3580",7750,70318
"3584",7759,70415
"3588",7761,1548621
"3592",7762,80172
"3596",7772,70530
"3600",7781,110536
"3604",7798,70793
"3608",7799,275053
"3612",7809,71023
"3616",7817,720851
"3620",7824,741508
"3624",7828,71241
"3628",7841,315958
"3632",7849,356309
"3636",7850,71478
"3640",7853,71525
"3644",7862,1046861
"3648",7863,71557
"3652",7866,71691
"3656",7875,814453
"3660",7881,1164727
"3664",7882,71829
"3668",7883,225263
"3672",7904,72020
"3676",7906,320187
"3680",7911,72205
"3684",7912,72207
"3688",7917,72243
"3692",7920,72316
"3696",7921,72331
"3700",7922,72333
"3704",7923,702165
"3708",7932,72418
"3710",7935,72423
"3711",7936,NA
"3715",7938,789933
"3719",7951,72573
"3723",7964,764765
"3727",7970,72741
"3731",7974,1111711
"3735",7977,72903
"3739",7985,1133421
"3743",7991,97216
"3747",7993,73020
"3751",7995,73048
"3755",8001,73088
"3759",8017,718074
"3763",8030,73309
"3767",8036,318716
"3771",8045,73779
"3775",8047,73773
"3779",8049,874992
"3783",8054,74688
"3787",8060,1587987
"3791",8065,216748
"3795",8068,797468
"3799",8073,350737
"3803",8079,73756
"3807",8080,73759
"3811",8084,73822
"3815",8087,350868
"3819",8092,73887
"3823",8093,73902
"3827",8095,1129981
"3831",8096,73942
"3835",8099,1031296
"3839",8101,748015
"3843",8105,74046
"3847",8109,74058
"3851",8113,1021635
"3855",8123,74303
"3859",8133,353230
"3863",8150,74585
"3867",8151,1039684
"3871",8162,275858
"3875",8176,74818
"3879",8193,75042
"3883",8199,1466593
"3887",8210,75208
"3891",8213,75252
"3895",8214,1370946
"3899",8215,812074
"3903",8219,75288
"3907",8229,75340
"3911",8233,76791
"3915",8247,79879
"3919",8250,81288
"3923",8253,75362
"3927",8264,1004980
"3931",8266,277058
"3935",8272,1032208
"3939",8290,75594
"3943",8293,75681
"3947",8304,75829
"3951",8330,76094
"3955",8333,1559149
"3959",8334,708821
"3963",8336,76149
"3967",8341,750561
"3971",8348,76267
"3975",8350,76282
"3979",8357,76321
"3983",8358,76334
"3987",8365,724988
"3991",8386,76605
"3995",8387,943861
"3999",8388,704460
"4003",8402,723531
"4007",8423,1422862
"4011",8434,77106
"4015",8439,77155
"4019",8440,77159
"4023",8446,1166126
"4027",8455,922224
"4031",8463,77360
"4035",8465,801873
"4039",8470,77385
"4043",8475,77449
"4047",8479,77476
"4051",8480,710217
"4055",8484,NA
"4060",8486,77543
"4064",8488,77551
"4068",8497,725394
"4072",8508,77864
"4076",8512,77877
"4080",8515,350403
"4084",8521,77952
"4086",8526,353827
"4090",8530,78003
"4094",8536,78066
"4098",8539,1109357
"4102",8542,78128
"4106",8543,764180
"4110",8549,1163165
"4114",8551,78239
"4118",8559,NA
"4119",8577,78460
"4123",8579,278130
"4127",8582,88948
"4131",8599,78749
"4135",8606,78814
"4139",8633,914025
"4143",8638,1072341
"4147",8648,79225
"4148",8655,230463
"4152",8675,311871
"4156",8681,1706089
"4160",8687,79677
"4164",8692,1338749
"4168",8694,1135971
"4172",8699,80420
"4176",8717,79958
"4180",8750,80293
"4181",8759,311505
"4185",8762,80424
"4189",8807,1108426
"4193",8810,788784
"4197",8811,81050
"4201",8815,81061
"4205",8818,1085392
"4209",8823,822416
"4213",8826,276720
"4217",8832,100591
"4221",8838,NA
"4225",8850,81362
"4229",8858,708818
"4233",8859,276889
"4237",8864,720500
"4241",8867,709283
"4245",8872,351721
"4249",8873,751652
"4253",8881,32870
"4257",8892,700841
