"","Gvkey","CIK"
"5523",11446,1159297
"5527",11448,83530
"5528",11450,NA
"5532",11455,106532
"5536",11456,106535
"5540",11462,106618
"5544",11465,106640
"5548",11499,107140
"5552",11506,107263
"5556",11508,107294
"5560",11509,350077
"5564",11511,719955
"5568",11516,107469
"5570",11531,217084
"5574",11535,107681
"5578",11537,107687
"5582",11538,1617227
"5586",11550,783325
"5590",11554,352541
"5594",11555,916863
"5598",11566,110471
"5602",11573,108215
"5606",11580,108312
"5610",11584,850209
"5614",11600,108516
"5618",11609,108601
"5622",11636,108772
"5626",11644,318996
"5630",11649,716006
"5634",11657,108985
"5638",11667,723928
"5642",11669,109156
"5646",11670,109177
"5650",11672,109198
"5654",11694,730716
"5658",11708,725876
"5662",11720,735780
"5666",11721,775158
"5670",11727,771214
"5673",11730,104401
"5677",11747,755199
"5681",11748,739608
"5685",11774,723592
"5687",11793,736994
"5691",11796,763744
"5695",11805,764579
"5699",11811,779152
"5703",11832,728389
"5707",11836,225926
"5711",11867,736291
"5712",11872,779544
"5716",11903,785787
"5720",11907,784770
"5724",11910,758004
"5728",11914,736822
"5732",11923,773910
"5736",11929,786947
"5740",11930,721447
"5744",11934,787809
"5748",11935,729213
"5752",11942,788951
"5756",11944,878726
"5760",11976,1616262
"5764",11982,737561
"5768",12046,869369
"5772",12047,789863
"5776",12051,768162
"5780",12053,790070
"5784",12065,774517
"5788",12075,2491
"5792",12088,775057
"5796",12090,785186
"5800",12091,739944
"5804",12092,742814
"5808",12094,785819
"5812",12096,701719
"5816",12109,217222
"5820",12111,779226
"5824",12122,790414
"5828",12123,768835
"5832",12136,709519
"5836",12139,739460
"5840",12141,789019
"5844",12142,1341439
"5848",12143,710807
"5849",12144,789388
"5853",12171,790703
"5857",12180,729922
"5860",12181,730272
"5864",12183,791050
"5868",12189,790818
"5872",12200,NA
"5876",12206,1465112
"5880",12210,351017
"5884",12212,790705
"5888",12215,791915
"5892",12216,791907
"5896",12222,791450
"5900",12233,732485
"5904",12234,790715
"5908",12236,778734
"5912",12246,1052163
"5916",12250,792977
"5920",12256,709804
"5924",12262,792987
"5928",12263,760436
"5932",12266,793074
"5936",12274,725058
"5940",12277,78536
"5944",12286,777513
"5948",12304,785557
"5952",12338,792985
"5956",12352,1026816
"5959",12365,793961
"5962",12377,793524
"5966",12378,793983
"5970",12379,794619
"5974",12381,NA
"5978",12385,792984
"5981",12389,793952
"5985",12390,793279
"5989",12392,793733
"5993",12395,794170
"5997",12400,795424
"6001",12403,724571
"6005",12408,793160
"6009",12421,795212
"6013",12423,723312
"6015",12428,784977
"6019",12430,717216
"6023",12433,794172
"6027",12434,795665
"6031",12435,721295
"6035",12441,749251
"6039",12444,771485
"6043",12445,795403
"6047",12458,788920
"6051",12459,906163
"6055",12466,795255
"6059",12471,789460
"6063",12472,356841
"6067",12478,1232241
"6071",12481,796228
"6073",12482,796505
"6077",12484,796486
"6081",12485,1702780
"6085",12497,64247
"6089",12519,796577
"6093",12521,779681
"6097",12540,796343
"6101",12545,45919
"6105",12559,1340786
"6109",12568,783412
"6113",12573,797564
"6117",12575,768408
"6121",12576,792641
"6125",12578,59255
"6129",12581,751085
"6133",12587,799089
"6136",12589,785161
"6140",12593,763950
"6144",12597,798081
"6148",12598,798287
"6152",12615,799292
"6156",12620,798736
"6160",12621,854852
"6164",12625,799167
"6168",12634,798168
"6169",12635,798354
"6173",12658,800286
"6177",12669,799088
"6181",12677,800460
"6185",12679,802301
"6189",12684,801748
"6193",12688,709355
"6197",12689,795266
"6201",12691,795551
"6205",12697,801338
"6209",12702,319697
"6213",12708,314606
"6217",12711,725363
"6221",12713,318306
"6225",12717,715446
"6229",12718,701319
"6232",12719,719135
"6236",12722,781902
"6240",12724,746631
"6244",12731,773318
"6248",12734,1166220
"6252",12744,314712
"6256",12746,764587
"6258",12756,1650107
"6262",12757,713275
"6266",12762,801128
"6267",12782,726845
"6271",12785,802481
"6275",12788,800459
"6279",12789,355777
"6283",12791,740726
"6287",12801,753048
"6291",12804,803647
"6295",12807,356590
"6299",12815,800458
"6303",12818,728387
"6308",12825,785956
"6312",12827,1068848
"6316",12828,744962
"6320",12834,722567
"6324",12837,770034
"6328",12840,799233
"6332",12850,804753
"6336",12852,798600
"6340",12855,721237
"6344",12868,805305
"6348",12874,749660
"6352",12877,764858
"6356",12879,727672
"6360",12884,803014
"6364",12886,1308161
"6368",12890,101704
"6372",12895,805264
"6376",12898,805268
"6380",12915,1116463
"6384",12916,719754
"6388",12926,844059
"6392",12942,707511
"6396",12944,804073
"6400",12945,785786
"6404",12947,NA
"6408",12950,804212
"6412",12955,805730
"6416",12961,717197
"6418",12964,727273
"6422",12972,50493
"6426",12992,805792
"6430",12994,43350
"6434",13003,801898
"6438",13011,752431
"6442",13013,780127
"6446",13025,801622
"6450",13027,805023
"6454",13032,807884
"6458",13034,790272
"6462",13046,806624
"6466",13062,805012
"6470",13071,790526
"6474",13092,807882
"6478",13110,731446
"6482",13123,NA
"6486",13128,809933
"6490",13135,842662
"6494",13139,806817
"6498",13155,808493
"6502",13163,802356
"6506",13169,3952
"6510",13170,806129
"6514",13172,799694
"6518",13174,NA
"6522",13176,806172
"6526",13184,799698
"6530",13188,794107
"6534",13193,786765
"6538",13199,775714
"6542",13200,810136
"6546",13204,880430
"6550",13219,810876
"6551",13227,NA
"6555",13235,811641
"6559",13239,704440
"6563",13241,810332
"6567",13288,776008
"6571",13289,803016
"6575",13311,28452
"6579",13316,700998
"6583",13323,812128
"6587",13326,812076
"6591",13328,808064
"6595",13329,812703
"6599",13332,812121
"6603",13334,745788
"6607",13340,778423
"6611",13354,807707
"6615",13365,10081
"6619",13368,812880
"6623",13369,1689437
"6627",13370,813747
"6631",13375,808461
"6635",13380,812900
"6639",13381,813298
"6643",13392,799426
"6647",13406,812701
"6651",13407,812708
"6655",13409,813619
"6659",13421,813672
"6663",13424,1088120
"6667",13427,1081316
"6671",13431,778438
"6675",13432,NA
"6679",13437,803034
"6683",13440,794323
"6687",13443,742550
"6691",13472,808015
"6695",13474,814258
"6699",13479,811696
"6703",13480,814549
"6707",13481,814929
"6711",13484,812796
"6715",13505,810829
"6719",13514,799033
"6720",13525,706015
"6724",13526,805022
"6728",13531,812906
"6732",13537,810370
"6736",13542,793421
"6738",13550,792161
"6742",13554,814361
"6746",13569,788738
"6750",13570,769520
"6754",13572,810113
"6758",13582,814676
"6762",13593,814057
"6766",13599,816284
"6770",13602,799850
"6774",13619,815094
"6778",13623,816956
"6782",13630,772572
"6786",13631,792935
"6790",13634,813781
"6794",13645,818074
"6798",13646,98246
"6802",13657,817135
"6806",13680,811828
"6810",13700,818479
"6814",13704,352747
"6818",13709,813762
"6822",13710,811532
"6826",13712,1518587
"6830",13714,813828
"6834",13733,806517
"6838",13744,791994
"6842",13756,804331
"6846",13759,808219
"6850",13760,808013
"6854",13765,787253
"6858",13782,819220
"6862",13786,818033
"6866",13789,816159
"6870",13794,811212
"6874",13798,814139
"6878",13799,778426
"6882",13800,799231
"6886",13824,814547
"6890",13828,819334
"6894",13831,764843
"6898",13839,820081
"6902",13843,814915
"6906",13853,770944
"6910",13864,819527
"6914",13866,817946
"6918",13873,799268
"6922",13906,788329
"6926",13913,727346
"6930",13915,820906
"6934",13922,811419
"6938",13932,1560968
"6942",13936,796655
"6946",13940,820738
"6950",13962,922358
"6954",13963,59440
"6958",13990,801351
"6962",14002,818010
"6966",14007,1644147
"6970",14009,812551
"6974",14016,811933
"6977",14017,42136
"6981",14019,810018
"6983",14027,822818
"6987",14064,65195
"6991",14083,818682
"6995",14084,819793
"6999",14108,768411
"7003",14112,722572
"7007",14113,807863
"7011",14114,319459
"7015",14145,805054
"7019",14150,216324
"7023",14151,797662
"7027",14163,1056087
"7031",14169,825410
"7035",14170,825411
"7039",14182,813621
"7043",14186,820237
"7047",14221,745026
"7051",14225,815556
"7055",14227,723209
"7059",14233,794927
"7062",14238,814904
"7066",14250,75448
"7070",14252,715073
"7074",14255,820600
"7078",14256,743316
"7082",14268,853273
"7086",14282,820313
"7090",14285,821616
"7094",14296,823560
"7098",14304,3116
"7102",14309,822663
"7106",14311,931015
"7110",14324,768251
"7114",14340,808918
"7118",14359,1038357
"7122",14363,820626
"7124",14369,821130
"7128",14370,871763
"7132",14378,NA
"7136",14380,830141
"7140",14382,821572
"7144",14384,830260
"7148",14385,780434
"7152",14386,828750
"7156",14395,810084
"7160",14412,823094
"7164",14417,820097
"7168",14418,789570
"7172",14446,772197
"7176",14450,821407
"7180",14451,820608
"7184",14457,822665
"7187",14470,842699
"7191",14476,815098
"7195",14477,823768
"7199",14487,816949
"7203",14489,1571996
"7207",14490,828747
"7211",14503,831327
"7215",14525,832483
"7219",14529,807877
"7223",14535,832428
"7227",14549,109870
"7231",14552,71528
"7232",14555,1651347
"7236",14561,820318
"7240",14563,1333274
"7244",14565,835910
"7248",14568,803260
"7252",14581,815093
"7256",14582,823876
"7260",14590,831259
"7264",14597,821995
"7268",14603,704562
"7272",14606,821536
"7276",14616,831968
"7280",14622,755806
"7284",14623,836106
"7288",14624,800240
"7292",14626,832767
"7296",14633,832820
"7300",14638,771729
"7304",14650,835729
"7308",14653,803044
"7312",14790,833079
"7316",14793,1037676
"7320",14794,1026655
"7324",14808,831861
"7328",14810,789851
"7332",14815,354567
"7336",14816,835270
"7340",14834,717751
"7344",14835,832812
"7345",14852,801907
"7349",14855,821113
"7353",14863,833076
"7357",14883,814457
"7361",14886,837038
"7365",14891,835011
"7369",14895,724941
"7373",14897,837991
"7377",14898,910638
"7381",14908,833081
"7385",14913,826253
"7389",14918,815838
"7393",14934,1090012
"7397",14938,802851
"7401",14942,NA
"7405",14954,836157
"7409",14957,836809
"7413",14960,920148
"7417",14983,771856
"7421",14985,839087
"7425",15027,842295
"7429",15060,928022
"7433",15084,833320
"7437",15087,814586
"7441",15092,813920
"7445",15106,840467
"7449",15110,842635
"7453",15133,824803
"7454",15159,NA
"7458",15160,837913
"7460",15162,836435
"7464",15173,927914
"7468",15174,812914
"7469",15178,793171
"7473",15185,NA
"7476",15203,840824
"7478",15220,842638
"7482",15240,839470
"7486",15242,852426
"7490",15247,1035002
"7494",15252,842633
"7498",15253,793044
"7502",15267,832101
"7506",15274,837173
"7510",15283,797079
"7514",15290,845752
"7518",15291,845289
"7522",15292,863061
"7526",15293,841692
"7530",15294,813040
"7534",15331,840883
"7538",15337,783005
"7542",15343,89439
"7546",15346,843081
"7547",15347,846876
"7551",15354,846909
"7555",15359,845779
"7559",15404,NA
"7563",15409,NA
"7567",15410,842919
"7571",15414,842023
"7575",15418,NA
"7579",15428,844787
"7583",15446,805326
"7587",15457,814046
"7591",15459,850429
"7595",15474,823130
"7599",15495,716214
"7603",15521,791519
"7607",15708,850693
"7611",15709,849213
"7615",15713,857645
"7619",15798,847935
"7623",15800,844887
"7627",15822,850414
"7631",15824,849145
"7635",15854,850476
"7637",15855,849399
"7641",15859,846718
"7645",16188,851205
"7649",16394,820757
"7653",16401,772406
"7657",16405,97052
"7661",16453,711377
"7665",16456,722723
"7669",16477,842162
"7673",16478,821189
"7677",16479,853890
"7681",16480,849636
"7683",16488,827156
"7687",16490,847420
"7691",16531,855612
"7695",16597,855658
"7699",16620,NA
"7703",16650,1068717
"7707",16665,853665
"7711",16710,854775
"7715",16721,712515
"7719",16729,855109
"7723",16813,790071
"7727",17101,855654
"7731",17107,856072
"7733",17108,853697
"7735",17110,835541
"7739",17199,834365
"7743",17202,856386
"7747",17221,NA
"7750",17239,1060009
"7754",17286,842927
"7758",17341,863110
"7762",17366,842695
"7766",17405,11390
"7770",17890,1083301
"7774",17932,29322
"7778",18100,851737
"7782",18364,1034669
"7786",18484,854460
"7790",18549,840715
"7794",18560,760326
"7798",18563,825521
"7802",18576,1028153
"7806",18654,313716
"7810",18699,857005
"7814",18705,856716
"7818",18799,820380
"7822",18805,880584
"7826",18813,910111
"7830",19034,797167
"7834",19069,849043
"7838",19129,788965
"7842",19152,788885
"7846",19155,846732
"7850",19209,875582
"7854",19305,80035
"7858",19398,852772
"7862",19402,821002
"7866",19427,856465
"7870",19431,914122
"7874",19433,315131
"7878",19439,856200
"7882",19557,768892
"7886",19622,825322
"7890",19807,844789
"7894",19818,722051
"7898",19861,831253
"7902",19911,854860
"7906",19917,803003
"7910",19965,784011
"7914",20021,852807
"7918",20036,849706
"7922",20054,847777
"7925",20064,NA
"7926",20134,320186
"7930",20185,825542
"7934",20202,858452
"7938",20209,NA
"7942",20216,810270
"7946",20217,1473061
"7951",20237,840216
"7955",20245,1412067
"7959",20296,857728
"7963",20423,858339
"7967",20519,NA
"7971",20548,858470
"7975",20653,945764
"7979",20779,858877
"7983",20783,858558
"7987",20893,846615
"7990",20901,926295
"7994",20904,859737
"7998",20909,857644
"8002",20983,854222
"8006",20984,857351
"8010",20993,860097
"8013",21066,722617
"8017",21116,849401
"8021",21118,727207
"8025",21132,357097
"8029",21136,896747
"8033",21139,878547
"8037",21144,798399
"8041",21151,859621
"8045",21153,832407
"8049",21163,755229
"8053",21186,859368
"8057",21201,852766
"8061",21232,748592
"8065",21237,844965
"8069",21238,751978
"8073",21244,1007228
"8077",21300,789881
"8081",21311,908235
"8085",21314,NA
"8089",21320,789318
"8093",21345,785562
"8096",21350,876528
"8098",21424,786623
"8102",21427,856250
"8106",21429,861459
"8110",21432,812152
"8114",21435,842289
"8118",21440,853816
"8122",21487,861361
"8126",21488,857953
"8130",21496,820736
"8134",21506,814339
"8138",21508,779390
"8142",21519,820774
"8146",21542,824142
"8150",21556,804152
"8154",21562,763846
"8158",21563,752294
"8162",21659,817785
"8166",21663,803578
"8170",21673,866734
"8174",21675,806384
"8177",21677,1269127
"8181",21685,809875
"8183",21686,711307
"8187",21743,724910
"8191",21763,32272
"8195",21776,858803
"8199",21777,856982
"8203",21792,100625
"8207",21828,874214
"8211",21856,851199
"8215",21926,829117
"8219",21986,788340
"8220",22008,22551
"8224",22053,1071993
"8228",22057,817820
"8232",22059,718130
"8236",22120,789879
"8240",22139,837472
"8244",22140,848865
"8248",22144,819689
"8252",22177,1002902
"8256",22199,NA
"8260",22205,862480
"8264",22207,768899
"8268",22220,32284
"8272",22221,829608
"8276",22248,1084103
"8280",22308,824068
"8284",22325,743988
"8288",22373,924383
"8292",22377,356591
"8296",22398,839871
"8300",22447,821483
"8304",22461,719866
"8308",22495,844788
"8312",22496,94056
"8316",22507,856569
"8320",22511,1093432
"8323",22532,863557
"8327",22542,851249
"8331",22543,825324
"8335",22567,843462
"8339",22601,890784
"8342",22612,863456
"8346",22619,863893
"8349",22623,825203
"8353",22632,57725
"8357",22650,66649
"8361",22659,794487
"8365",22707,99249
"8369",22718,96057
"8373",22729,749935
"8377",22732,NA
"8380",22759,894952
"8383",22761,96885
"8387",22765,751160
"8391",22772,315449
"8395",22794,864328
"8399",22797,864509
"8403",22810,1075066
"8407",22815,864749
"8411",22817,863894
"8415",22822,NA
"8419",22829,864233
"8423",22854,1081242
"8427",22855,775926
"8431",22861,352955
"8435",22882,1023298
"8439",22913,863437
"8443",22957,864890
"8447",22962,83350
"8451",22965,319124
"8455",22974,809428
"8459",22978,862255
"8463",22994,NA
"8467",23000,857171
"8471",23002,23194
"8475",23027,851520
"8479",23034,848551
"8482",23044,835412
"8486",23062,NA
"8490",23067,1494037
"8494",23079,857073
"8495",23084,863436
"8499",23088,865846
"8503",23100,51387
"8507",23113,NA
"8511",23153,811271
"8515",23195,866273
"8519",23197,NA
"8523",23220,866121
"8527",23224,866706
"8531",23226,829323
"8535",23252,896156
"8539",23253,838879
"8543",23262,771642
"8547",23270,1021853
"8551",23275,721647
"8555",23288,876134
"8559",23291,811240
"8563",23330,859365
"8567",23387,827056
"8571",23485,225648
"8575",23528,845434
"8579",23535,5117
"8586",23561,822746
"8590",23570,831749
"8594",23577,869487
"8598",23587,858655
"8602",23591,870743
"8606",23605,870755
"8610",23616,869986
"8614",23620,837490
"8618",23623,714256
"8622",23697,868611
"8626",23700,319450
"8629",23701,846775
"8633",23714,1108109
"8637",23717,817516
"8641",23753,868780
"8645",23767,872448
"8649",23769,870760
"8653",23774,869087
"8657",23776,704328
"8661",23790,862692
"8665",23799,840319
"8669",23809,866787
"8673",23810,866609
"8677",23812,872589
"8681",23852,868267
"8685",23872,872855
"8687",23877,1054833
"8691",23898,868725
"8695",23929,866048
"8699",23937,1056617
"8701",23943,767920
"8705",23945,873364
"8709",23948,867490
"8713",23961,854271
"8717",23964,771252
"8721",23978,1163302
"8725",23988,882289
"8729",23989,864921
"8733",24005,867665
"8737",24008,873591
"8741",24021,313143
"8745",24029,873603
"8749",24032,874016
"8753",24040,874015
"8757",24048,941814
"8761",24099,874396
"8765",24105,874389
"8768",24110,874294
"8772",24113,724606
"8776",24114,872202
"8780",24122,827055
"8784",24147,837342
"8788",24157,840489
"8792",24170,873571
"8796",24171,1319947
"8800",24179,874443
"8804",24184,830158
"8808",24185,874388
"8812",24186,874691
"8816",24187,874265
"8820",24190,874689
"8824",24191,874255
"8828",24197,874716
"8832",24198,874734
"8836",24204,875355
"8840",24216,874761
"8844",24218,874759
"8847",24219,812191
"8851",24224,1238631
"8855",24234,870826
"8859",24283,1259045
"8863",24293,811596
"8867",24302,1520262
"8871",24304,868368
"8875",24316,865752
"8879",24344,875320
"8883",24346,855424
"8887",24350,876427
"8891",24352,876167
"8895",24356,875751
"8899",24363,740761
"8903",24376,NA
"8907",24378,874733
"8911",24384,875525
"8914",24396,704415
"8918",24402,750901
"8922",24405,877212
"8926",24409,768262
"8930",24415,1574815
"8934",24428,874292
"8938",24429,791885
"8940",24430,876523
"8944",24432,870228
"8948",24436,865570
"8952",24449,833140
"8956",24451,876490
"8960",24463,69891
"8964",24468,875045
"8968",24473,877357
"8972",24474,877645
"8976",24475,727634
"8980",24478,705003
"8984",24483,878079
"8988",24489,877931
"8992",24491,850483
"8996",24497,859792
"9000",24522,878314
"9004",24531,878556
"9008",24537,878280
"9012",24538,878522
"9016",24539,817366
"9020",24544,1095996
"9024",24607,878736
"9028",24610,878828
"9032",24617,878927
"9036",24620,1040829
"9040",24621,879123
"9044",24648,878903
"9048",24660,862861
"9052",24662,878725
"9056",24668,879181
"9060",24669,877476
"9064",24670,879796
"9068",24671,879554
"9072",24689,864268
"9076",24699,765258
"9080",24704,880026
"9084",24708,879585
"9088",24710,875622
"9092",24712,879301
"9096",24717,886328
"9100",24720,879526
"9104",24728,NA
"9108",24741,867687
"9112",24747,879573
"9116",24750,880631
"9120",24755,880117
"9124",24759,872544
"9128",24771,880431
"9132",24776,NA
"9136",24781,880643
"9140",24782,1585364
"9144",24783,831641
"9148",24792,749254
"9152",24795,880807
"9156",24797,880242
"9160",24800,804328
"9164",24803,880446
"9168",24810,880285
"9172",24830,833203
"9176",24832,880208
"9180",24837,874710
"9184",24840,839621
"9188",24841,879884
"9192",24842,867840
"9196",24843,881464
"9200",24844,1289945
"9204",24852,858155
"9208",24853,789132
"9212",24856,882095
"9216",24865,851943
"9220",24870,824169
"9224",24878,882104
"9228",24887,1029802
"9232",24888,881890
"9236",24890,880432
"9240",24893,865436
"9244",24898,879993
"9248",24907,881468
"9252",24909,879684
"9256",24912,880984
"9260",24922,882154
"9264",24923,852164
"9268",24925,882835
"9272",24926,881791
"9276",24931,882287
"9278",24934,879437
"9282",24945,879303
"9286",24954,881924
"9290",24965,879575
"9294",24966,832489
"9298",24975,883241
"9302",24978,837465
"9306",24982,849448
"9310",24996,876343
"9314",25000,878748
"9318",25020,881905
"9322",25021,883293
"9326",25025,883670
"9330",25031,883505
"9334",25033,949876
"9338",25047,880771
"9342",25053,NA
"9343",25056,1105705
"9347",25062,882235
"9351",25069,883945
"9355",25079,1661290
"9359",25081,883813
"9362",25088,879911
"9366",25089,859747
"9370",25095,NA
"9374",25099,883977
"9378",25108,883943
"9382",25110,883984
"9386",25111,883976
"9390",25118,883842
"9394",25119,851968
"9398",25124,884905
"9402",25130,883902
"9406",25132,883979
"9410",25138,884144
"9414",25146,1281949
"9418",25150,867347
"9422",25152,883787
"9426",25157,883980
"9430",25166,771266
"9434",25167,884217
"9438",25168,884064
"9442",25170,866970
"9446",25180,880266
"9450",25181,884130
"9454",25186,884940
"9458",25191,1100356
"9462",25198,875296
"9466",25201,708781
"9470",25216,884497
"9474",25224,885551
"9478",25234,885245
"9482",25241,1442222
"9486",25268,885317
"9490",25274,1005284
"9494",25279,885725
"9498",25283,885639
"9502",25285,868263
"9506",25297,836564
"9510",25302,736012
"9514",25312,890908
"9518",25313,1624899
"9522",25314,863015
"9526",25315,876188
"9530",25318,885978
"9534",25320,792130
"9538",25331,886206
"9542",25334,883981
"9546",25338,886158
"9550",25340,882184
"9554",25341,886903
"9558",25355,886046
"9562",25357,886137
"9566",25359,884647
"9570",25360,875729
"9574",25361,886171
"9578",25362,859735
"9582",25385,726603
"9586",25389,1408075
"9590",25396,822418
"9594",25399,887150
"9598",25405,886035
"9602",25430,886128
"9606",25433,887227
"9610",25434,829224
"9614",25480,895565
"9618",25495,1379895
"9622",25509,886835
"9626",25514,884847
"9630",25536,887733
"9634",25540,860518
"9638",25554,887433
"9642",25572,850460
"9646",25579,887568
"9650",25603,888702
"9654",25623,887497
"9658",25627,888228
"9662",25641,814008
"9666",25655,833845
"9670",25656,855585
"9674",25676,887226
"9678",25680,888504
"9682",25681,NA
"9686",25683,879703
"9690",25691,912365
"9694",25694,888914
"9698",25711,862668
"9702",25726,889348
"9706",25731,1123316
"9710",25737,887596
"9714",25745,813779
"9718",25746,NA
"9722",25747,889331
"9726",25749,890564
"9730",25774,867374
"9734",25776,851726
"9738",25777,825692
"9742",25783,890801
"9746",25789,885988
"9750",25799,98544
"9754",25805,832370
"9758",25807,857323
"9762",25808,1018336
"9766",25844,754516
"9770",25845,886475
"9774",25848,887730
"9778",25849,748790
"9782",25851,NA
"9786",25859,891178
"9790",25870,891014
"9794",25874,872248
"9798",25880,891024
"9802",25896,891919
"9806",25906,891288
"9810",25915,892482
"9814",25918,890923
"9818",25921,887637
"9822",25922,886346
"9826",25923,797465
"9830",25924,810509
"9834",25929,889423
"9838",25935,885462
"9841",25937,886163
"9845",25940,819927
"9849",25944,875570
"9851",25946,892907
"9855",25964,892553
"9859",25969,812149
"9863",25972,890634
"9867",25976,797448
"9871",25978,887969
"9875",25979,891532
"9879",25980,718789
"9883",25981,893741
"9885",25987,892533
"9889",25991,888507
"9893",25993,728478
"9897",26004,776325
"9901",26011,859014
"9905",26012,849547
"9909",26013,893538
"9913",26014,805914
"9915",26015,859475
"9919",26019,1237941
"9923",26021,859598
"9927",26037,1196501
"9931",26038,881695
"9935",26039,886912
"9939",26044,893965
"9943",26045,875657
"9947",26050,1450598
"9951",26059,745655
"9955",26060,875428
"9959",26061,891103
"9963",26064,879465
"9967",26069,874499
"9971",26201,891462
"9975",26246,NA
"9979",26506,1000157
"9983",26520,922612
"9987",26523,99047
"9991",26557,893816
"9995",26898,879106
"9999",26900,19149
"10003",27199,894627
"10007",27747,865231
"10011",27748,878616
"10015",27760,1078207
"10019",27765,887151
"10023",27771,895095
"10027",27776,895456
"10031",27783,853971
"10035",27784,892822
"10039",27786,895126
"10043",27790,886136
"10047",27794,895419
"10051",27795,777516
"10055",27810,1639691
"10059",27816,895663
"10063",27823,784199
"10067",27825,893970
"10071",27828,101984
"10075",27842,895385
"10079",27845,1578845
"10083",27856,891417
"10087",27873,895642
"10091",27882,884382
"10095",27906,768710
"10099",27908,895726
"10103",27912,894680
"10107",27913,895665
"10111",27920,819050
"10115",27921,892832
"10119",27923,1080280
"10122",27924,887591
"10126",27925,896841
"10130",27928,896878
"10134",27930,896397
"10138",27936,896985
"10142",27937,874841
"10146",27938,895447
"10150",27939,34956
"10154",27960,897077
"10158",27961,853547
"10162",27965,827054
"10166",27975,897545
"10170",27980,895655
"10174",27981,897429
"10178",27983,882291
"10182",27988,897075
"10186",27991,830134
"10190",27997,741696
"10194",28003,895040
"10195",28009,895464
"10199",28016,NA
"10203",28018,786110
"10207",28020,895651
"10211",28078,894743
"10215",28118,883569
"10219",28139,897723
"10223",28145,833829
"10227",28149,1063703
"10228",28156,NA
"10232",28176,896622
"10236",28177,890725
"10240",28180,898173
"10244",28182,892147
"10248",28184,847555
"10252",28194,1122976
"10256",28195,898293
"10260",28206,849502
"10264",28209,898437
"10268",28214,898777
"10272",28248,1397867
"10276",28249,899636
"10280",28252,887757
"10284",28256,868809
"10288",28266,899297
"10292",28285,895516
"10296",28295,899751
"10300",28296,880115
"10304",28300,NA
"10305",28303,900349
"10309",28316,884719
"10313",28317,898660
"10317",28320,1402057
"10321",28325,851560
"10325",28347,928054
"10329",28374,828146
"10333",28388,902272
"10337",28397,901491
"10341",28403,902276
"10343",28408,903129
"10347",28410,902791
"10351",28414,902270
"10355",28429,778165
"10359",28435,900708
"10363",28450,29693
"10365",28460,907649
"10369",28461,NA
"10373",28462,902274
"10377",28477,354908
"10381",28483,806514
"10385",28501,901495
"10389",28502,902281
"10392",28504,896195
"10396",28518,904979
"10400",28524,902277
"10404",28543,904978
"10408",28556,864264
"10412",28563,904973
"10416",28564,904080
"10420",28590,78890
"10424",28597,904901
"10428",28600,905895
"10431",28603,906525
"10433",28616,906326
"10437",28622,904020
"10441",28624,906473
"10444",28637,1134061
"10448",28641,906193
"10452",28648,863157
"10456",28668,906782
"10460",28675,909724
"10464",28676,852952
"10466",28678,907687
"10470",28691,895380
"10474",28699,906337
"10478",28700,906551
"10480",28704,907242
"10484",28712,908598
"10488",28717,903651
"10492",28730,853733
"10493",28736,833083
"10497",28737,893046
"10501",28742,908255
"10505",28744,908440
"10509",28749,891482
"10513",28758,869570
"10517",28762,877422
"10521",28765,908652
"10525",28770,900017
"10529",28775,854398
"10533",28778,710976
"10537",28787,1618673
"10541",28791,864839
"10545",28795,908259
"10549",28806,879407
"10553",28819,846913
"10557",28822,909276
"10561",28836,86759
"10565",28853,1645494
"10569",28877,909954
"10573",28881,909793
"10577",28884,909326
"10581",28885,899166
"10585",28916,884650
"10589",28917,910619
"10593",28919,909281
"10597",28924,890491
"10601",28930,1048286
"10605",28933,909950
"10609",28936,931814
"10611",28937,910057
"10613",28938,909791
"10617",28940,913142
"10621",28942,907072
"10625",28947,910655
"10629",28983,911149
"10633",28989,904896
"10637",28998,911002
"10641",29001,899723
"10645",29011,906553
"10649",29015,910521
"10653",29021,911626
"10655",29023,NA
"10659",29028,909832
"10663",29032,802724
"10667",29038,1072881
"10669",29040,911649
"10673",29063,905428
"10677",29066,888693
"10681",29074,906282
"10685",29075,911673
"10689",29085,893162
"10693",29086,911216
"10697",29089,1101433
"10701",29095,867058
"10705",29105,910721
"10709",29107,908179
"10713",29108,889900
"10717",29127,879169
"10721",29129,906780
"10725",29131,912562
"10729",29133,780571
"10733",29139,NA
"10737",29143,912145
"10741",29150,912615
"10745",29151,911147
"10749",29156,912767
"10753",29165,912544
"10757",29170,912607
"10761",29173,912750
"10765",29205,789860
"10769",29206,912728
"10773",29217,912603
"10777",29241,912093
"10781",29250,912241
"10785",29264,912263
"10789",29268,912833
"10793",29274,1041577
"10797",29278,892025
"10801",29284,912960
"10805",29304,914398
"10809",29312,901219
"10813",29319,844985
"10817",29320,NA
"10821",29323,913293
"10825",29332,914139
"10829",29338,913590
"10833",29341,912908
"10837",29342,913032
"10841",29344,912086
"10845",29345,895812
"10849",29346,895041
"10853",29353,914024
"10857",29356,1084408
"10861",29366,913598
"10864",29367,914479
"10867",29374,883741
"10869",29381,913949
"10873",29382,913241
"10877",29386,913885
"10881",29392,915389
"10885",29397,913665
"10889",29406,913586
"10893",29433,911650
"10897",29435,722392
"10901",29449,914156
"10905",29453,3570
"10909",29461,913616
"10913",29497,912088
"10916",29511,912513
