gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
001045,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000006201,A
001045,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000006201,A
001050,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000003197,A
001050,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000003197,A
001050,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000003197,A
001050,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000003197,A
001056,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000002601,I
001056,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000002601,I
001056,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000002601,I
001056,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000002601,I
001072,30/06/2004,2004,1,INDL,C,D,STD,USD,2004Q2,2004Q1,0000859163,A
001072,30/09/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000859163,A
001072,31/12/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000859163,A
001072,31/03/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000859163,A
001075,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000764622,A
001075,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000764622,A
001075,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000764622,A
001075,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000764622,A
001076,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000706688,A
001076,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000706688,A
001076,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000706688,A
001076,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000706688,A
001078,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000001800,A
001078,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000001800,A
001078,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000001800,A
001078,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000001800,A
